DOMESTIC  PRIMARY  AND  SECONDARY  SALES  -  NUMBER  OF SALE  AND  PURCHASE  AGREEMENTS  AND  TOTAL CONSIDERATION,,,,
Month,Primary Sales Number,Primary Sales Consideration,Secondary Sales Number,Secondary Sales Consideration
05-2017,1275,21342,4457,32218
06-2017,2320,27416,3780,31723
07-2017,952,12133,2563,21079
08-2017,1236,14369,2778,19282
09-2017,2389,23434,3240,21838
10-2017,1541,15809,3748,26079
11-2017,1416,20623,4278,33194
12-2017,1293,20783,4044,31172
01-2018,828,13976,4442,35830
02-2018,1168,17159,4314,33735
03-2018,738,11253,3525,27557
04-2018,2122,26644,4524,35180
05-2018,756,13200,4766,38984
06-2018,2070,29636,4643,38387
07-2018,1753,28775,4338,36462
08-2018,1490,18236,3332,28529
09-2018,1252,17926,2248,19157
10-2018,2337,21382,1906,17189
11-2018,720,9776,1915,16244
12-2018,399,11542,1661,12534
01-2019,2191,28401,2352,16523
02-2019,1654,17551,2435,18529
03-2019,1468,15211,3763,30659
04-2019,2789,27707,5033,42394
05-2019,3246,32682,4962,45764
06-2019,1191,15405,3436,29925
07-2019,1810,17937,2995,26132
08-2019,1252,12894,2832,23689
09-2019,1338,11873,2109,15788
10-2019,1387,16951,2614,23737
11-2019,2112,19775,3644,28004
12-2019,670,11216,2514,20046
01-2020,626,7468,2136,17310
02-2020,1016,9868,2556,20539
03-2020,619,7555,3251,24204
04-2020,775,8161,3327,25572
05-2020,1179,15015,4805,37730
06-2020,2195,21462,4792,43333
07-2020,1673,22184,4460,37310
08-2020,1068,11955,3290,28252
09-2020,808,9601,4216,33805
10-2020,1046,9961,3905,40092
11-2020,2201,23413,3869,34697
12-2020,2111,23131,3956,35615
01-2021,586,7269,3976,32474
02-2021,1553,17229,4572,39705
03-2021,1553,20210,5891,49138
04-2021,1067,16275,6258,55275
05-2021,1572,24951,5512,51879
06-2021,1954,28170,5637,52703
07-2021,2052,28567,5527,50037
08-2021,708,11305,4838,43192
09-2021,1926,21261,3918,34794
10-2021,1297,19479,3346,30201
11-2021,1868,19014,3541,32269
12-2021,1514,17158,3631,31350
01-2022,1081,13699,3194,29722
02-2022,481,6872,2431,22601
03-2022,161,2533,2708,24393
04-2022,258,3417,3639,31741
05-2022,1492,18262,4710,39767
06-2022,1382,16270,3444,28888
07-2022,1177,13451,2494,20438
08-2022,1564,12019,2573,20473
09-2022,1435,10466,2440,18629
10-2022,672,5230,2476,21949
11-2022,365,4763,2366,21098
12-2022,247,2740,2260,18300
01-2023,363,5072,2688,20359
02-2023,655,9053,3627,27602
03-2023,1787,18872,4903,39021
04-2023,1550,25758,3033,26610
05-2023,1000,11807,3003,24961
06-2023,1019,12718,2594,20903
07-2023,810,7438,2255,19153
08-2023,742,8440,2505,20205
09-2023,964,7663,1898,15124
10-2023,356,4805,1767,19693
11-2023,547,6318,2007,13352
12-2023,959,9684,1970,14640
01-2024,1003,8336,2474,19456
02-2024,367,5677,2008,13419
03-2024,1499,13764,2472,16298
04-2024,3636,42350,4915,35106
05-2024,1934,26255,3612,27120
06-2024,980,12026,2876,22465
07-2024,826,9687,2897,25988
08-2024,1154,11253,2500,17218
09-2024,521,5698,2327,15140
10-2024,1611,16072,3086,21203
11-2024,2494,30838,3804,26423
12-2024,887,11119,3216,21444
01-2025,768,7692,2858,19052
