PRIVATE  OFFICES  -  AVERAGE  PRICES  BY  GRADE  AND  DISTRICT [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A North Point / Quarry Bay,Grade A North Point / Quarry Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade A Kowloon Bay / Kwun Tong,Grade A Kowloon Bay / Kwun Tong - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B North Point / Quarry Bay,Grade B North Point / Quarry Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade B Kowloon Bay / Kwun Tong,Grade B Kowloon Bay / Kwun Tong - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C North Point / Quarry Bay,Grade C North Point / Quarry Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks,Grade C Kowloon Bay / Kwun Tong,Grade C Kowloon Bay / Kwun Tong - Remarks
01-2008,-,,210899,,114346,,82239,X,128598,,- ,,n/a,,88924,,115978,X,97931,,58083,X,99837,,57088,,n/a,,53673,,103436,X,75248,,64418,,65363,,52255,,n/a,
02-2008,-,,223776,,94144,X,76494,X,142656,,- ,,n/a,,64412,X,131930,X,110761,,50639,X,100910,,60111,,n/a,,51995,,86081,X,77030,,59079,,63008,,52514,,n/a,
03-2008,-,,222445,,95910,X,-,,133035,,- ,,n/a,,66780,X,-,,100921,,53797,X,102438,,64859,,n/a,,56941,,99484,X,72499,,60437,,71039,,49753,,n/a,
04-2008,-,,241473,,-,,-,,134896,,- ,,n/a,,99839,X,145585,X,94227,X,59557,X,94607,,70046,,n/a,,62739,,70979,,74130,,64061,,65254,,48388,,n/a,
05-2008,84458,X,230078,,200062,X,91136,X,117764,,- ,,n/a,,70181,,-,,80275,X,56187,X,84323,,58994,,n/a,,61581,,100657,X,83423,,64875,,50821,,49650,,n/a,
06-2008,89646,X,226712,,206261,X,97895,X,108514,X,- ,,n/a,,78779,,121782,X,95560,X,57658,X,89439,,72097,,n/a,,58856,,106803,,74599,,61759,,61681,,51879,,n/a,
07-2008,200527,X,236675,X,-,,-,,117284,,156686,X,n/a,,72530,X,-,,111551,,63013,X,94313,,66632,,n/a,,69364,,104348,X,67268,,62423,,67321,,46221,,n/a,
08-2008,-,,-,,-,,-,,133378,X,- ,,n/a,,91302,X,111701,X,87760,X,-,,79933,,67654,,n/a,,62294,,117769,X,81175,,101399,X,56566,,57128,,n/a,
09-2008,-,,174350,X,118661,X,91033,X,-,,- ,,n/a,,56480,X,90112,X,99499,,60098,X,81450,X,63045,,n/a,,57366,,-,,75547,,61316,,59237,,48274,,n/a,
10-2008,-,,263158,X,100962,X,112431,X,87212,X,- ,,n/a,,91274,X,80542,X,109671,X,-,,88002,X,55331,,n/a,,51037,,56180,X,68857,X,60712,X,59923,,40952,,n/a,
11-2008,-,,-,,-,,91897,X,133531,X,- ,,n/a,,-,,-,,97653,X,-,,132946,X,58476,,n/a,,46499,X,-,,60756,X,53672,X,54531,,48728,,n/a,
12-2008,-,,130803,X,69701,X,-,,117428,X,- ,,n/a,,53749,X,119003,X,52478,X,-,,92439,,61302,,n/a,,49438,X,-,,65629,X,60345,X,47638,X,40786,,n/a,
01-2009,134934,X,184432,X,-,,55491,X,77679,X,- ,,n/a,,56085,X,112007,X,52928,X,-,,62031,,75786,X,n/a,,43774,X,-,,87907,X,-,,58145,,41688,,n/a,
02-2009,-,,132010,,-,,-,,-,,- ,,n/a,,55262,X,123509,X,84419,X,51424,X,92257,X,57110,X,n/a,,58351,,76747,X,59397,X,52557,X,93301,X,40605,,n/a,
03-2009,-,,139256,,69988,X,-,,87707,X,- ,,n/a,,51810,,-,,74651,,50078,X,72156,,61205,,n/a,,56722,,-,,58164,X,51459,,54738,,45199,,n/a,
04-2009,129508,X,122279,,97681,X,-,,83487,X,- ,,n/a,,50186,X,-,,90458,,48021,X,74695,,49441,,n/a,,57932,,83330,,65221,,38923,X,73851,X,46017,,n/a,
05-2009,-,,166938,,96990,X,70328,X,105259,X,- ,,n/a,,45708,X,139130,X,106298,,63478,X,77743,,52504,,n/a,,51490,,82551,X,81668,,52725,,67628,X,50313,,n/a,
06-2009,148949,X,161349,,76225,X,107096,X,101662,,- ,,n/a,,62968,X,131879,X,84815,,54381,X,83580,,54665,,n/a,,50377,,66443,X,71978,,60083,,55440,,47921,,n/a,
07-2009,58480,X,178243,,99496,,107007,X,114111,,- ,,n/a,,50617,X,109622,X,101117,,56897,X,86991,,62772,,n/a,,63552,,77447,X,78488,,61077,,63601,,53300,,n/a,
08-2009,-,,189927,,145651,X,-,,123726,,- ,,n/a,,49498,X,120129,X,91432,,60209,X,74839,,68508,,n/a,,57095,,120899,X,75626,,60173,,68903,,52983,,n/a,
09-2009,136315,X,216205,,147706,X,87885,X,110769,,- ,,n/a,,58523,X,113174,X,96997,,62187,X,94725,,63385,,n/a,,61443,,86407,X,86315,,61196,,62533,,53681,,n/a,
10-2009,133264,X,217960,,96992,X,-,,132326,X,- ,,n/a,,75066,X,158382,X,100641,,-,,83884,,65529,,n/a,,59024,,-,,80092,,66365,,75084,,56452,,n/a,
11-2009,-,,188020,,96051,X,85500,X,130774,X,- ,,n/a,,107285,X,152139,X,116398,,65566,X,98872,,63087,,n/a,,74336,,152585,X,81272,,62825,,68695,,62500,,n/a,
12-2009,157669,X,204303,,-,,82419,X,121628,,- ,,n/a,,76050,X,178529,X,94079,,66397,X,90076,,65846,,n/a,,69034,,81786,X,77043,,69888,,64522,,60502,,n/a,
01-2010,98186,X,212693,,101464,X,-,,124148,,- ,,n/a,,100961,X,-,,96656,,54281,X,104442,,62840,,n/a,,70152,,-,,79229,,65986,,68683,,63853,,n/a,
02-2010,-,,204177,,182104,X,-,,-,,- ,,n/a,,62284,X,-,,125119,,52640,X,110103,,60136,,n/a,,67710,,107658,X,95581,,65522,,79886,,74164,,n/a,
03-2010,183122,X,230211,,123350,X,92021,,127927,,- ,,n/a,,64101,X,179951,X,115655,,62254,X,97287,,67194,,n/a,,70299,,99867,X,86879,,69699,,76516,,62031,,n/a,
04-2010,-,,214646,,104118,X,-,,121279,,199507,X,n/a,,69050,X,225417,X,95054,,65445,X,93228,,61850,,n/a,,61018,,102990,X,92121,,79662,,80348,,70434,,n/a,
05-2010,92484,X,208717,,109946,X,102893,X,130114,,187888,X,n/a,,81320,X,-,,122695,,68595,X,91327,,71521,,n/a,,63773,,99363,X,90308,,68307,,95733,,59059,,n/a,
06-2010,89530,X,192915,,-,,92391,X,117309,X,- ,,n/a,,71259,,176908,X,92649,,61799,X,97836,,72732,,n/a,,63696,,115273,X,98158,,70347,,78678,,63384,,n/a,
07-2010,-,,166188,,204234,X,-,,130386,,- ,,n/a,,92281,,134511,X,122521,X,66419,X,80674,,70375,,n/a,,72332,,129099,X,101167,,71814,,69532,,67846,,n/a,
08-2010,-,,223044,,169224,X,92391,X,121380,,- ,,n/a,,90107,,153890,X,108293,,68154,X,92712,,80009,,n/a,,76575,,116331,X,102369,,72438,,71826,,75330,,n/a,
09-2010,-,,226059,,106280,X,95929,X,129190,,- ,,n/a,,66028,X,136873,X,119432,X,73645,X,98925,,74253,,n/a,,77325,,148732,X,103722,,80467,,78855,,70847,,n/a,
10-2010,-,,229812,,133794,X,-,,150366,,- ,,n/a,,108556,X,150943,X,113428,,74639,X,108501,,67463,,n/a,,83474,,108273,X,96259,,84275,,85042,,74398,,n/a,
11-2010,400521,X,257231,,198625,X,-,,140140,,- ,,n/a,,93759,,172281,X,119706,,64239,X,114278,,65973,,n/a,,78100,,126773,X,107060,,84248,X,82225,,73988,,n/a,
12-2010,-,,301054,,132101,X,99995,X,162424,,- ,,n/a,,48927,X,181918,X,162885,,77064,X,104564,,83523,,n/a,,104894,,141281,X,103472,,83787,,83925,,74652,,n/a,
01-2011,136354,X,276190,,112409,X,122230,X,147807,,- ,,n/a,,148355,X,165595,X,122731,,77042,X,123056,,70930,,n/a,,94205,,106145,X,107114,,84713,,80916,,80135,,n/a,
02-2011,224221,X,310723,,141353,X,123657,X,146599,,- ,,n/a,,84741,,185826,X,134967,,-,,109559,,77080,,n/a,,97790,,139628,X,113071,,91674,,97464,,84283,,n/a,
03-2011,144941,X,278715,,198399,,-,,156741,,- ,,n/a,,102932,,184458,X,137545,,-,,120469,,81382,,n/a,,89529,,-,,108978,,97648,,92900,,88537,,n/a,
04-2011,109162,X,288664,,191997,X,101216,X,188831,,- ,,n/a,,115054,X,354696,X,160342,,63474,X,109812,,81307,,n/a,,87492,,212503,X,114224,,96789,,94063,,88318,,n/a,
05-2011,-,,294703,,245380,X,-,,166830,,- ,,n/a,,90928,X,191692,X,156208,,69211,X,156570,,86222,,n/a,,90957,,-,,127646,,100333,,86530,,89708,,n/a,
06-2011,147040,X,319982,,208060,X,-,,162513,,- ,,n/a,,112900,X,197719,X,137979,,-,,111757,,103055,,n/a,,91253,,247328,X,118464,,92516,,92372,,97603,,n/a,
07-2011,287428,X,304423,,161970,X,105598,X,184807,X,- ,,n/a,,91018,X,-,,208061,X,-,,110834,X,102234,,n/a,,96804,,-,,112801,,102865,,105942,,94990,,n/a,
08-2011,116013,X,324789,X,132123,X,115955,X,171650,,- ,,n/a,,94677,X,-,,227516,X,95923,X,126213,,101815,,n/a,,100306,,199839,X,181583,X,107780,,102376,,87841,,n/a,
09-2011,-,,449749,X,-,,-,,137888,X,- ,,n/a,,108021,X,197647,X,167804,X,85602,X,108182,,105344,,n/a,,107326,,139925,X,114454,X,99739,,105215,,107434,,n/a,
10-2011,-,,412445,X,-,,-,,-,,- ,,n/a,,83696,X,-,,151711,X,82857,X,124934,X,110394,,n/a,,91996,X,180124,X,118559,,88889,X,97764,,94908,,n/a,
11-2011,163484,X,-,,131010,X,-,,118167,X,- ,,n/a,,123122,X,-,,128026,X,94296,X,123853,,123858,,n/a,,100656,,147885,X,130440,,108965,X,100157,,100220,,n/a,
12-2011,-,,290838,X,262325,X,-,,157350,X,- ,,n/a,,94388,X,202723,X,150857,X,77620,X,125056,X,99170,X,n/a,,99596,,181818,X,107658,X,92356,X,103615,,103023,,n/a,
01-2012,282452,X,424684,X,-,,-,,129867,X,- ,,n/a,,174635,X,-,,166471,X,70681,X,114592,,99772,X,n/a,,113696,,-,,128049,X,108962,X,107495,X,92718,X,n/a,
02-2012,-,,-,,187448,X,-,,-,,- ,,n/a,,104506,X,-,,110524,X,95400,X,112859,X,90916,,n/a,,90937,,162879,X,106205,,125926,X,106276,,100136,,n/a,
03-2012,141686,X,298718,X,-,,-,,169021,X,- ,,n/a,,107773,,194796,X,150575,,89686,X,122998,,107232,,n/a,,105588,,-,,127675,,105473,,114732,,99920,,n/a,
04-2012,-,,332812,,165630,,152985,X,180984,X,- ,,n/a,,112337,X,224694,X,159790,,89494,X,125126,,97847,,n/a,,118717,,-,,124459,,104476,,116883,,104549,,n/a,
05-2012,117397,X,322680,,217408,X,150099,X,155639,,- ,,n/a,,111378,,172000,X,169779,,95702,X,111290,,108064,,n/a,,103616,,182178,X,152351,,121904,,117304,,101537,,n/a,
06-2012,129185,X,352907,X,347082,X,-,,156726,,- ,,n/a,,-,,-,,184422,,-,,128474,,116454,,n/a,,113753,,226960,X,116685,X,118021,,109753,,115888,,n/a,
07-2012,-,,439050,X,190618,X,141781,X,163447,,- ,,n/a,,123066,,209152,X,158138,X,-,,156335,,123916,,n/a,,123230,,257803,X,124058,X,114437,,123813,,107157,,n/a,
08-2012,168394,X,350428,X,137979,X,-,,164085,,- ,,n/a,,121461,,227789,X,146090,X,-,,143833,,108243,,n/a,,137956,,200000,X,131313,,110872,,117959,,112454,,n/a,
09-2012,-,,297511,X,-,,-,,155826,,- ,,n/a,,103832,X,-,,152271,,99139,X,154523,X,101799,,n/a,,124331,,164059,X,137311,,124719,,99908,,112960,,n/a,
10-2012,243465,X,378050,,186695,X,184967,X,155516,,- ,,n/a,,128284,X,-,,179333,,99048,X,129968,,118670,,n/a,,127267,,214872,,156923,,124850,,120098,,119018,,n/a,
11-2012,142272,X,324629,,-,,-,,182144,,- ,,n/a,,122839,X,168200,X,183921,,104436,X,146546,,128758,,n/a,,129299,,186695,X,156836,,132049,,144027,,132120,,n/a,
12-2012,220000,X,299623,,265461,X,-,,180575,,- ,,n/a,,143460,X,261719,X,174646,X,113652,X,132568,,131498,,n/a,,128903,,270619,X,165563,,132166,,130149,,131152,,n/a,
01-2013,146922,X,333196,X,251645,X,-,,171762,,- ,,n/a,,-,,415225,X,181501,,118798,X,150491,,134573,,n/a,,150193,,164835,X,157761,,139903,,134570,,136528,,n/a,
02-2013,167609,X,346753,,210273,X,-,,168028,,- ,,116512,,138595,X,366847,X,217839,,122225,X,150470,,145860,,- ,,145430,,208893,X,169206,,140120,X,141013,,141551,,- ,
03-2013,-,,399638,X,204372,X,147196,X,199732,X,- ,,134248,X,96577,X,370040,X,-,,122622,X,160136,X,137663,,- ,,144595,,-,,170741,,154764,,138666,,139432,,- ,
04-2013,-,,326184,X,183485,X,-,,-,,- ,,- ,,138608,X,-,,210362,X,-,,178404,X,112349,X,- ,,136864,,166071,X,148970,X,123266,X,144550,,147224,,- ,
05-2013,-,,336375,X,162594,X,-,,221069,X,- ,,- ,,-,,-,,212810,X,-,,149336,,142182,,- ,,154096,,206813,X,137055,,140576,X,130360,,125340,,- ,
06-2013,-,,418047,X,199734,X,162422,X,182425,X,- ,,117113,X,145692,X,-,,191463,X,-,,171659,X,153579,,- ,,200196,X,-,,162921,X,119785,X,156079,,131007,,- ,
07-2013,-,,-,,-,,-,,163359,X,- ,,140851,X,-,,161085,X,163166,X,-,,138265,X,148407,X,- ,,160581,,-,,155112,,167606,X,157939,X,148230,,- ,
08-2013,-,,-,,-,,-,,182821,X,- ,,115201,X,200935,X,249028,X,165397,X,-,,161870,,- ,,- ,,189954,X,213906,X,160482,X,151542,X,139737,X,147889,,- ,
09-2013,-,,-,,-,,-,,208784,X,- ,,- ,,115323,X,266181,X,229267,X,116986,X,156429,X,134425,,- ,,125789,,-,,213656,X,-,,130303,,144951,,- ,
10-2013,-,,390035,X,-,,-,,137736,X,- ,,158568,X,140217,X,-,,204848,X,124166,X,169304,X,139500,X,- ,,150039,,179888,X,175170,X,135863,,168322,,158028,,- ,
11-2013,-,,331738,X,-,,-,,221948,X,- ,,132752,X,-,,293291,X,152321,X,116468,X,199268,X,170254,X,- ,,129946,,-,,158278,X,-,,140424,,141564,,- ,
12-2013,277620,X,374562,X,-,,-,,218531,X,- ,,141564,X,159499,X,180037,X,242009,X,-,,165804,X,128030,,- ,,124466,,-,,160800,X,131188,X,178562,,118821,,- ,
01-2014,-,,305514,X,-,,-,,168927,X,- ,,147861,X,167659,X,-,,155017,X,124410,X,-,,155693,X,148088,X,154352,X,154322,X,149322,X,141434,X,171381,,136169,,- ,
02-2014,-,,365871,X,-,,-,,-,,- ,,- ,,-,,-,,211607,X,-,,175183,X,143194,X,- ,,131518,X,-,,131966,X,102409,X,125828,X,174743,,- ,
03-2014,-,,455781,X,-,,-,,169388,X,- ,,- ,,154630,X,-,,189053,X,-,,145977,X,162664,X,- ,,151006,X,251716,X,164476,,-,,144167,X,124236,,- ,
04-2014,-,,-,,-,,179465,X,225146,X,- ,,149223,X,149130,X,-,,234156,X,-,,144243,X,- ,,- ,,124000,X,-,,167486,X,131875,X,-,,146125,X,- ,
05-2014,-,,292258,X,-,,-,,192780,X,- ,,117803,X,148284,X,-,,238607,X,135108,X,139815,X,127828,X,192852,X,139390,,225003,X,180407,,103561,X,129168,,142073,,- ,
06-2014,-,,414900,X,156080,X,-,,206427,X,- ,,109952,X,-,,-,,222468,X,139860,X,156381,X,139339,X,- ,,165035,X,192350,X,149978,,185345,X,149858,,144723,,- ,
07-2014,-,,312778,X,389108,X,-,,177262,X,- ,,134868,X,159589,X,185652,X,208076,,134298,X,186981,X,153067,,- ,,122823,,138340,X,180656,X,147496,,202733,,166624,,- ,
08-2014,185007,X,332334,X,211273,X,155203,X,198570,X,- ,,146356,X,152824,X,233285,X,201357,X,-,,166524,X,152181,,118652,X,159555,,-,,152339,X,141856,,156114,,160096,,- ,
09-2014,176023,X,334825,X,-,,-,,183487,,- ,,92652,X,136274,X,294531,X,190312,,-,,-,,136304,,- ,,139746,,-,,236735,X,160515,X,144532,X,136073,,- ,
10-2014,-,,330550,X,301922,X,-,,228182,X,- ,,124697,X,168723,X,205477,X,200624,X,123076,X,197192,X,143219,X,- ,,172462,,376940,X,159724,X,138813,,107465,X,159913,,- ,
11-2014,152051,X,368156,X,-,,-,,217846,X,- ,,132582,X,-,,300847,X,201286,X,132011,X,193941,X,145036,X,- ,,141975,,163554,X,170307,,165812,X,149504,,139368,,- ,
12-2014,-,,-,,-,,-,,188470,,- ,,110402,,132713,X,-,,225402,X,-,,186956,,139659,,- ,,163099,X,196509,X,172116,,138766,X,146338,,142578,,- ,
01-2015,-,,312982,X,313281,X,-,,192552,X,- ,,133365,X,-,,303030,X,158407,X,-,,186920,X,127401,,- ,,144132,X,-,,-,,162745,X,168903,,153321,,- ,
02-2015,-,,317704,X,-,,-,,191806,X,- ,,131284,X,174580,X,290231,X,215758,X,-,,181135,,124402,X,- ,,155626,X,-,,172109,,137490,X,151223,,146870,,- ,
03-2015,-,,383687,X,191861,X,-,,175346,,- ,,149715,,137185,X,315651,X,242575,X,122289,X,176993,,135340,,- ,,178713,,-,,187456,,155933,X,137806,,162732,,- ,
04-2015,-,,372750,X,189698,X,-,,170575,X,- ,,110949,X,136997,X,501266,X,244240,X,-,,192768,,167240,,- ,,178948,,262288,X,168223,,163291,,147501,,159864,,- ,
05-2015,-,,319094,,-,,-,,204191,,- ,,158247,,251871,X,-,,220263,X,-,,188190,,147737,,- ,,173332,,212624,X,217321,,137985,X,151705,,151735,,- ,
06-2015,163218,X,299456,X,432113,X,-,,231022,X,- ,,123423,X,157123,X,270440,X,148148,X,149721,X,160818,X,144690,,- ,,179135,,-,,179796,,164314,X,169983,,161686,,- ,
07-2015,-,,346399,X,328606,X,-,,214075,X,- ,,142386,X,154891,X,-,,314815,X,124847,X,192610,X,139585,X,- ,,131588,X,231343,X,164035,,143508,,165445,,163964,,- ,
08-2015,-,,343131,X,247633,X,-,,226376,X,- ,,160011,,177187,X,348416,X,199314,X,-,,183054,X,176440,X,- ,,161835,,-,,209909,,139524,,157742,,152103,,- ,
09-2015,-,,-,,509600,X,-,,172575,X,- ,,145186,,232050,X,-,,229825,X,-,,179312,X,- ,,- ,,146131,,264277,X,185515,X,184231,X,138873,X,168506,,- ,
10-2015,-,,343635,X,-,,-,,-,,- ,,145230,,196759,X,-,,-,,-,,-,,152794,X,- ,,131337,X,-,,197791,X,197328,X,174646,,176999,,- ,
11-2015,-,,475308,X,169173,X,-,,198465,,- ,,130312,X,169594,X,235400,X,165037,X,130526,X,202293,X,175183,,- ,,147050,X,-,,-,,147309,X,153304,X,151015,,- ,
12-2015,162759,X,395632,X,-,,-,,183889,X,- ,,95648,X,-,,190800,X,264225,X,-,,161252,X,181111,X,132890,X,173280,,-,,170333,X,-,,140712,X,139915,,- ,
01-2016,168577,X,319689,X,478633,X,-,,-,,- ,,133860,X,-,,-,,-,,-,,-,,149783,X,- ,,160237,X,191303,X,-,,-,,170379,X,189430,X,- ,
02-2016,-,,-,,257792,X,-,,-,,- ,,181958,X,-,,-,,192225,X,-,,-,,167836,X,- ,,-,,235075,X,-,,-,,150993,X,170455,X,- ,
03-2016,178897,X,506098,X,234019,X,-,,163340,X,- ,,127617,X,167407,X,-,,132935,X,-,,186437,X,132527,X,- ,,112661,X,200758,X,188260,X,134415,X,159379,X,180425,X,- ,
04-2016,195980,X,-,,-,,-,,171202,X,- ,,152999,X,170817,X,-,,204574,X,-,,164366,X,139888,X,- ,,143867,X,-,,240525,X,140799,X,144248,,151866,,- ,
05-2016,-,,382525,X,214788,X,-,,179986,X,- ,,- ,,142935,X,321711,X,-,,-,,162754,,143939,X,- ,,159057,,196812,X,151624,X,135670,X,128138,,146498,,- ,
06-2016,-,,425541,,228860,X,-,,164307,X,- ,,85169,X,-,,-,,226629,X,-,,158281,X,- ,,- ,,159834,,-,,177454,,-,,133480,X,137215,,- ,
07-2016,210773,X,346019,X,-,,-,,183405,X,- ,,- ,,166047,X,-,,152047,X,-,,176630,X,147444,,- ,,-,,230344,X,199477,,143493,X,137994,,138292,,- ,
08-2016,322836,X,377970,X,-,,-,,199848,X,- ,,176129,X,-,,184615,X,214965,X,109639,X,170021,X,173711,X,- ,,150556,X,204800,X,178884,X,137330,X,148774,X,159350,X,- ,
09-2016,-,,423934,X,-,,-,,227755,,- ,,118560,X,-,,-,,217397,X,-,,176551,,128668,X,- ,,154261,,-,,188383,X,148044,,139786,,150295,,- ,
10-2016,-,,355178,X,195238,X,-,,213160,X,- ,,145863,X,159091,X,-,,206279,X,128611,X,113485,X,138423,X,- ,,138954,,144286,X,211544,X,171337,X,135810,,143104,,- ,
11-2016,-,,401154,X,268889,X,-,,175581,X,- ,,176948,X,187933,X,-,,259786,X,133257,X,130552,X,126651,,- ,,181701,,-,,169497,,181691,,149451,,149344,,- ,
12-2016,251256,X,478516,X,413907,X,-,,209271,,- ,,113864,,172756,X,-,,263180,X,-,,208560,X,137059,,- ,,150820,,163793,X,183283,,188803,,153150,,149491,,- ,
01-2017,180483,X,506659,X,260576,X,-,,181613,,- ,,159500,,-,,-,,273294,,-,,173184,X,142544,,133011,X,141368,X,241187,X,211988,,179432,X,138673,,146264,,- ,
02-2017,-,,414214,X,-,,-,,214164,X,- ,,164088,,194553,X,-,,228234,X,-,,175462,X,142977,,- ,,200324,X,-,,183395,,151735,X,146124,,141247,,- ,
03-2017,154277,X,431635,,202469,X,218564,X,202985,X,- ,,149058,,210422,X,316637,X,229583,,131002,X,192605,,163232,,- ,,156287,,-,,192768,,164911,,153235,,170789,,- ,
04-2017,252591,X,404823,X,248914,X,-,,222481,,- ,,205133,X,144295,X,212191,X,304956,X,165340,X,186774,X,141887,,- ,,179830,,222609,X,224054,,164918,X,158065,,161830,,- ,
05-2017,-,,-,,220209,X,280619,X,250709,X,- ,,148028,,160910,X,-,,304035,,165975,X,171482,,153426,,- ,,181491,,261488,X,221067,,180742,X,158287,,174282,,- ,
06-2017,-,,519005,X,-,,189189,X,207897,X,- ,,145622,,185409,,248618,X,172764,X,141284,X,164736,X,141017,,- ,,171751,,228627,X,220504,,250000,X,143875,X,165236,,- ,
07-2017,-,,559105,X,-,,-,,223341,X,- ,,135828,X,-,,219005,X,262354,X,-,,195115,,173182,,- ,,181812,,309701,X,180371,X,194883,X,135244,,169123,,- ,
08-2017,-,,550093,X,-,,-,,303104,X,- ,,169191,,221739,X,330729,X,225225,X,169797,X,152575,X,169198,,- ,,154794,X,283801,X,173975,X,210757,,174763,,163694,,- ,
09-2017,-,,463489,X,203008,X,-,,190854,X,- ,,173977,,188503,X,-,,182881,X,-,,195407,,157623,,- ,,228841,X,-,,207585,,190483,,183825,,177751,,- ,
10-2017,-,,-,,224266,X,225642,X,253771,X,- ,,175762,,210777,X,-,,241999,X,164657,X,206293,,153884,,- ,,164163,,-,,195855,,190268,,159087,,173351,,- ,
11-2017,-,,511965,X,402313,X,-,,264129,X,- ,,130070,,184983,X,-,,199185,X,164656,X,183638,X,167524,,152885,X,202746,,264582,X,203145,,167959,X,176786,X,168344,,- ,
12-2017,213269,X,-,,259877,X,-,,236000,X,- ,,169082,X,199634,X,-,,191288,X,147326,X,222213,,159406,,- ,,174388,X,240224,X,160907,,185122,,172399,,176453,,- ,
01-2018,298819,X,444612,X,-,,-,,221954,,- ,,160144,,155449,X,-,,273860,X,156679,X,242868,X,165111,,- ,,-,,312892,X,185157,,177641,,171152,,170772,,- ,
02-2018,-,,570521,X,-,,-,,239645,X,- ,,166857,X,196942,X,-,,348740,X,-,,226119,X,168065,X,- ,,178756,X,-,,190097,X,191857,X,173504,X,174393,,- ,
03-2018,-,,547086,X,359980,X,-,,248264,X,- ,,158135,,-,,-,,315546,X,-,,194659,,190165,X,- ,,169504,,269192,X,195731,X,217865,X,210554,X,169072,,- ,
04-2018,191033,X,543950,X,-,,-,,207483,X,- ,,158361,,-,,-,,349296,X,157620,X,191814,X,179848,,- ,,207335,,187983,X,225680,X,181029,,161983,,175460,,- ,
05-2018,257426,X,506335,X,217490,X,-,,252538,X,- ,,213385,X,-,,-,,256399,X,160677,X,191940,X,172398,X,- ,,196090,,-,,209141,,200632,X,170608,,198031,,- ,
06-2018,-,,543179,X,258405,X,358169,X,187097,X,- ,,164146,X,-,,398596,X,284726,X,162734,X,210885,X,154906,X,- ,,184485,,227114,X,220597,,237943,X,161379,,161642,,- ,
07-2018,602283,X,491488,X,-,,-,,253530,X,- ,,206405,X,221836,X,-,,290937,X,-,,202024,X,191695,,- ,,215838,,279156,X,222811,,-,,173516,,173928,,- ,
08-2018,-,,587157,X,-,,-,,304569,X,- ,,113660,X,214003,X,543626,X,352780,X,-,,196822,X,197781,,- ,,186209,,-,,321994,X,278816,X,161926,,182731,,- ,
09-2018,-,,388585,X,-,,-,,191939,X,- ,,212443,X,-,,-,,-,,191652,X,-,,208734,X,- ,,283728,X,-,,207816,X,187292,X,187188,,193061,,- ,
10-2018,-,,820864,X,-,,-,,-,,- ,,196262,X,180435,X,-,,-,,-,,212830,X,202241,,154321,X,233934,,-,,267045,X,186086,X,182458,X,179515,X,- ,
11-2018,-,,718170,X,261343,X,-,,-,,- ,,184383,X,-,,215630,X,303260,X,-,,220788,X,179046,X,- ,,153351,X,-,,199913,X,200568,X,160969,,159773,X,- ,
12-2018,-,,-,,267198,X,-,,-,,- ,,422205,X,-,,491628,X,-,,-,,204777,,198289,X,- ,,152941,X,-,,213533,X,185310,X,145919,X,152129,,- ,
01-2019,-,,509675,X,-,,-,,183065,X,- ,,- ,,228731,X,-,,281090,X,161780,X,201611,X,190766,X,- ,,194659,,-,,216527,X,-,,174185,,198509,X,- ,
02-2019,-,,448622,X,-,,-,,243024,X,- ,,225789,X,-,,-,,-,,-,,168980,X,202635,X,- ,,192833,X,-,,243205,X,220538,X,192989,X,201581,X,- ,
03-2019,677828,X,596629,,263080,X,-,,205368,X,- ,,136338,,200755,X,-,,369506,X,-,,199952,X,152734,,148401,X,173398,,238987,X,180440,X,168880,,181866,,178088,,- ,
04-2019,478143,X,-,,-,,335821,X,237988,X,- ,,157090,,-,,350877,X,177173,X,-,,218162,,165260,,- ,,166882,,-,,240591,,192690,,187773,,186286,,- ,
05-2019,496667,X,535507,X,203252,X,-,,258301,X,- ,,141287,,190229,X,-,,-,,-,,219053,X,213095,X,- ,,159931,,292222,X,232577,X,206705,X,189697,,175338,,- ,
06-2019,433217,,-,,-,,-,,179245,X,- ,,175020,X,-,,-,,380282,X,163590,X,217514,X,185455,X,154321,X,269983,,194301,X,274474,X,218528,X,186174,,192453,,- ,
