PROPERTY  MARKET  YIELDS  -  PRIVATE  NON-DOMESTIC [QUARTERLY[NON-DOMESTIC]],,,,,,,,
Quarter,Offices - Grade A,Offices - Grade A - Remarks,Offices - Grade B,Offices - Grade B - Remarks,Flatted Factories,Flatted Factories - Remarks,Retail,Retail - Remarks
07-09/2019,2.5,,2.6,,2.9,,2.7,
10-12/2019,2.6,,2.7,,3,,2.8,
01-03/2020,2.8,,2.7,,2.9,,2.6,
04-06/2020,2.8,,2.8,,2.9,,2.6,
07-09/2020,2.9,,2.7,,3,,2.6,
10-12/2020,2.5,,2.6,,3,,2.6,
01-03/2021,2.5,,2.6,,2.8,,2.5,
04-06/2021,2.5,,2.5,,2.9,,2.5,
07-09/2021,2.6,,2.4,,2.9,,2.4,
10-12/2021,2.5,,2.6,,2.9,,2.5,
01-03/2022,2.4,@,2.7,,2.9,,2.4,
04-06/2022,2.4,,2.6,,2.8,,2.5,
07-09/2022,2.5,,2.6,,2.9,,2.6,
10-12/2022,2.6,,2.7,,3,,2.6,
01-03/2023,2.5,,2.7,,3,,2.7,
04-06/2023,2.6,,2.7,,3.1,,2.7,
07-09/2023,2.6,@,2.9,,3.2,,2.8,
10-12/2023,2.6,@,3,,3.3,,2.9,
01-03/2024,2.8,,3.1,~,3.5,,2.9,
04-06/2024,3,@,3.3,,3.5,,3,
07-09/2024,3.2,,3.5,,3.7,,3.2,
10-12/2024,3.4,P,3.6,P,3.8,P,3.3,P
