PRIVATE  OFFICES  -  RENTAL  INDICES  BY  GRADE  (ALL  DISTRICTS) [MONTHLY],,,,,,,,
Month,Grade A,Grade A - Remarks,Grade B,Grade B - Remarks,Grade C,Grade C - Remarks,Overall,Overall - Remarks
06-2003,71.8,,74.2,,73,,72.7,
07-2003,69.8,,73.8,,73.5,,71.6,
08-2003,70,,73.5,,74.6,,71.8,
09-2003,69.7,,73.3,,74.8,,71.6,
10-2003,71,,74.6,,74.6,,72.6,
11-2003,71.5,,74.9,,75.5,,73.1,
12-2003,73,,74.6,,74.1,,73.6,
01-2004,73,,76.8,,76.1,,74.5,
02-2004,72.5,,75.2,,73.9,,73.4,
03-2004,74,,76.1,,77.5,,75.1,
04-2004,74,,79.1,,79.1,,76.3,
05-2004,74.9,,77.8,,78.4,,76.3,
06-2004,76.9,,79.4,,78.5,,77.9,
07-2004,75.5,,78.2,,77.9,,76.6,
08-2004,80.8,,81.3,,76.8,,80.2,
09-2004,79.7,,81.2,,80.5,,80.3,
10-2004,79.7,,83.1,,80.5,,80.8,
11-2004,82.4,,82.8,,80.9,,82.2,
12-2004,82.2,,85.9,,82.7,,83.3,
01-2005,88.9,,86.7,,83.2,,87.3,
02-2005,88.2,,85.8,,83.8,,86.7,
03-2005,91.7,,87,,84.3,,89.1,
04-2005,92.9,,89.2,,86.5,,90.7,
05-2005,96.1,,91.5,,88,,93.4,
06-2005,96.4,,93.4,,88.9,,94.3,
07-2005,102.3,,93.1,,90.7,,97.6,
08-2005,104.1,,97,,89.5,,99.6,
09-2005,106.7,,100.1,,91.6,,102.3,
10-2005,107.1,,99.4,,90.8,,102.2,
11-2005,113.3,,103.2,,93.9,,107.2,
12-2005,113,,102.2,,93,,106.7,
01-2006,113.7,,103.9,,92.7,,107.5,
02-2006,119.6,,105.1,,94.5,,111.4,
03-2006,118.4,,107.4,,93.5,,111.3,
04-2006,125.2,,111.3,,97.8,,116.8,
05-2006,125.2,,113.9,,99.2,,117.6,
06-2006,126.1,,113.1,,99.1,,117.9,
07-2006,128.8,,113.9,,100.9,,119.8,
08-2006,127.4,,115.9,,101.3,,119.7,
09-2006,129.6,,117.6,,101.7,,121.4,
10-2006,126.5,,115.4,,104,,119.4,
11-2006,130.9,,119.1,,104,,122.8,
12-2006,130.4,,119.6,,104.8,,122.7,
01-2007,133.9,,119.7,,104.2,,124.6,
02-2007,133.9,,123.9,,107.1,,126.2,
03-2007,134.4,,123.9,,108.1,,126.6,
04-2007,135.7,,124.2,,108.4,,127.5,
05-2007,137.4,,128.2,,110.2,,129.9,
06-2007,140.2,,128.5,,110.5,,131.4,
07-2007,140.8,,128.8,,111.7,,132.1,
08-2007,142.3,,129.8,,113.6,,133.6,
09-2007,142.2,,132.2,,115.9,,134.7,
10-2007,144.7,,134.3,,118.2,,137.1,
11-2007,146,,135.9,,119.1,,138.4,
12-2007,149.2,,137.9,,117.8,,140.6,
01-2008,152,,139.6,,118.7,,142.8,
02-2008,155.2,,142.2,,123.2,,146,
03-2008,158.1,,147.2,,125.5,,149.4,
04-2008,163.2,,148.6,,128.9,,153.2,
05-2008,169.7,,153.9,,130.9,,158.8,
06-2008,169.3,,154.8,,129.4,,158.8,
07-2008,171.7,,155.6,,128.5,,160.3,
08-2008,172.9,,157.6,,130.8,,161.8,
09-2008,170.7,,161.4,,131.5,,161.7,
10-2008,173,,155.5,,131.6,,161.5,
11-2008,169.1,,153.6,,127.9,,158.1,
12-2008,164.8,,148.7,,121.9,,153.5,
01-2009,158,,140,,119.7,,146.9,
02-2009,148.9,,138,,117.1,,140.8,
03-2009,144.5,,134.8,,114.6,,137.1,
04-2009,139.7,,132,,113.4,,133.5,
05-2009,136.9,,130.6,,113.7,,131.4,
06-2009,136.7,,131.4,,113.1,,131.5,
07-2009,137,,129.8,,115.7,,131.6,
08-2009,137.7,,130.9,,115.7,,132.3,
09-2009,138.3,,134.4,,119,,134.1,
10-2009,138.9,,135.1,,119.5,,134.7,
11-2009,140.6,,138,,120.6,,136.6,
12-2009,141,,141.4,,124.5,,138.4,
01-2010,141.4,,141.7,,126.1,,139,
02-2010,141.9,,143.9,,126.5,,140,
03-2010,143.8,,145.4,,127.1,,141.6,
