NON-DOMESTIC  SALES  -  NUMBER  OF  TRANSACTIONS  AND  CONSIDERATION  BY  PROPERTY  TYPE,,,,,,,,,,,,
Month,Offices Number,Offices Number - Remarks,Offices Consideration,Offices Consideration - Remarks,Commercial Number,Commercial Number - Remarks,Commercial Consideration,Commercial Consideration - Remarks,Flatted Factories Number,Flatted Factories Number - Remarks,Flatted Factories Consideration,Flatted Factories Consideration - Remarks
08-2011,203,,2240.1,,432,,4204.1,,549,,1840.1,
09-2011,175,,1379.3,,387,,3295.3,,422,,1484.9,
10-2011,105,,1500.4,,250,,2172.6,,306,,1272.6,
11-2011,162,,2052.6,,251,,3422.8,,417,,1871.3,
12-2011,136,,1403.5,,277,,4101.7,,360,,1722.4,
01-2012,73,,1025.1,,207,,2808.5,,252,,1123.5,
02-2012,140,,1890.3,,276,,3487.1,,457,,1938.9,
03-2012,297,,2864.5,,631,,10726.7,,778,,2949.5,
04-2012,271,,2858.5,,597,,7973.3,,691,,2972.1,
05-2012,301,,3054.1,,880,,12309.5,,813,,3338.9,
06-2012,280,,3362.6,,555,,6888.8,,684,,2897.6,
07-2012,248,,2154.4,,464,,5670.6,,658,,2956.1,
08-2012,254,,2386.8,,539,,7062.7,,795,,3501.6,
09-2012,306,,2851.1,,682,,8901.4,,973,,3877.5,
10-2012,424,,5446.7,,845,,11504.2,,1465,,6523.2,
11-2012,392,,4041.5,,811,,14493.4,,1297,,6537.8,
12-2012,283,,4689.3,,795,,9446.6,,868,,5357.4,
01-2013,303,,4898.7,,1239,,11374.5,,905,,4927.9,
02-2013,411,,5233.4,,594,,7705.7,,934,,6040.2,
03-2013,155,,1788.1,,375,,5600.6,,426,,2484.1,
04-2013,80,,742.6,,264,,3066.3,,230,,1451.5,
05-2013,102,,1102.1,,238,,2220.8,,251,,1578.1,
06-2013,98,,1432.7,,191,,2924.6,,209,,1724.2,
07-2013,90,,752.3,,247,,3193.3,,228,,2076.2,
08-2013,99,,1793.3,,210,,1946.9,,192,,1166.8,
09-2013,84,,1226,,139,,1371.9,,277,,2590.4,
10-2013,79,,920.7,,367,,3103.9,,202,,1378.2,
11-2013,94,,1206.6,,240,,2752.9,,178,,1139.3,
12-2013,90,,1448.6,,201,,1818.2,,239,,1729.2,
01-2014,89,,1374,,153,,1991.4,,195,,1120.5,
02-2014,53,,458.2,,127,,3710.2,,115,,798,
03-2014,63,,883.1,,391,,4071.7,,286,,2116.3,
04-2014,71,,667.4,,387,,3041.2,,210,,1260.9,
05-2014,110,,1825.4,,193,,3167.4,,228,,1395.7,
06-2014,95,,1102.1,,258,,3000.4,,245,,1503.1,
07-2014,141,,2133.2,,194,,2740.2,,270,,1753.9,
08-2014,217,,2151.1,,223,,2509.9,,296,,1869,
09-2014,109,,1575.7,,470,,3350.7,,345,,2315.6,
10-2014,109,,1015.3,,176,,1550.4,,223,,1321.2,
11-2014,90,,1157.1,,311,,3434.9,,267,,1846.9,
12-2014,124,,2068.3,,209,,2844.7,,336,,1946.2,
01-2015,107,,1541.7,,177,,2103.9,,320,,1630.3,
02-2015,122,,1764.4,,205,,6338.9,,349,,2271.4,
03-2015,184,,3125.2,,175,,3152.4,,265,,1660.2,
04-2015,159,,1563.9,,160,,1878.3,,284,,1772.6,
05-2015,179,,3205.8,,155,,1741.1,,315,,2460.3,
06-2015,166,,2919.4,,186,,2767.3,,387,,3090.4,
07-2015,137,,1559.9,,344,,2297.1,,300,,1851.2,
08-2015,110,,2062.5,,188,,2079.1,,257,,1871.5,
09-2015,83,,1450,,167,,2501.9,,221,,1541,
10-2015,68,,643.8,,107,,1292.1,,206,,1246,
11-2015,80,,1483.8,,103,,1690.9,,202,,1095.8,
12-2015,75,,1169.6,,100,,1545.7,,301,,1479.8,
01-2016,36,,548.8,,156,,1849.2,,141,,1659.5,
02-2016,28,,537,,79,,912.9,,87,,684.6,
03-2016,77,,951.6,,84,,1557,,222,,1004,
04-2016,81,,709.7,,88,,1052.6,,188,,1068.6,
05-2016,97,,1579.3,,83,,823.8,,199,,1144.7,
06-2016,80,,1806.9,,99,,1370.6,,200,,1229.9,
07-2016,72,,911.5,,99,,1309.2,,183,,1092.3,
08-2016,94,,1799.3,,126,,1806.3,,211,,2643.9,
09-2016,128,,3085.4,,168,,4194.7,,222,,1388.5,
10-2016,104,,1676.2,,175,,2488,,241,,1576.5,
11-2016,149,,2483,,194,,3584.1,,391,,2917.6,
12-2016,159,,2331.3,,172,,2811.8,,442,,2271.8,
01-2017,113,,1401.7,,157,,2866.5,,260,,1342.9,
02-2017,87,,1172.1,,121,,1583.8,,219,,1456.8,
03-2017,394,,5567.2,,212,,2407.2,,484,,2932.5,
04-2017,160,,3514.5,,201,,4399.6,,380,,2589.2,
05-2017,237,,3086.2,,177,,2598.4,,397,,2305.1,
06-2017,150,,3053.1,,196,,2942.9,,569,,3096,
07-2017,125,,1541.2,,163,,3178.3,,448,,2505.1,
08-2017,111,,2404.5,,173,,3124.5,,409,,2437.4,
09-2017,124,,1881.8,,200,,3037.1,,445,,2825.3,
10-2017,163,,2463.1,,192,,2686.6,,411,,3112.2,
11-2017,148,,2894.5,,220,,2869.8,,523,,3248.4,
12-2017,143,,1797,,186,,4395.2,,590,,3140.3,
01-2018,170,,2657.7,,201,,3247.6,,610,,3183.6,
02-2018,100,,2040.8,,166,,3799.1,,445,,2990.5,
03-2018,138,,2106,,201,,3689.9,,518,,3387.9,
04-2018,161,,1952.4,,174,,3415.8,,474,,2821.1,
05-2018,116,,1729.8,,245,,3530.4,,638,,4160,
06-2018,135,,2271.4,,212,,4017.2,,520,,2911.5,
07-2018,114,,1478.5,,140,,2100.3,,510,,2798.7,
08-2018,143,,1986.2,,166,,2625.6,,390,,2627.2,
09-2018,87,,1172.2,,138,,2659,,264,,1980.1,
10-2018,63,,1366,,104,,1558.4,,188,,1400.4,
11-2018,58,,1621,,92,,1629,,159,,1159.8,
12-2018,46,,1094.8,,87,,3177.4,,136,,1122.1,
01-2019,72,,978.4,,78,,1034.5,,140,,1071.2,
